osmid,y,x,highway,street_count,ref,junction,railway,geometry
108220932,-12.1011291,-77.0308528,,4,,,,POINT (-77.0308528 -12.1011291)
108220933,-12.1021957,-77.0306608,,4,,,,POINT (-77.0306608 -12.1021957)
108221127,-12.1008202,-77.0288621,,4,,,,POINT (-77.0288621 -12.1008202)
108221128,-12.1012196,-77.0313621,,3,,,,POINT (-77.0313621 -12.1012196)
108221784,-12.1005318,-77.0309576,,4,,,,POINT (-77.0309576 -12.1005318)
108234779,-12.1093629,-77.0361839,,3,,,,POINT (-77.0361839 -12.1093629)
108234781,-12.108633,-77.0355891,,3,,,,POINT (-77.0355891 -12.108633)
108235129,-12.111242,-77.0376446,,3,,,,POINT (-77.0376446 -12.111242)
108236183,-12.1098985,-77.0369774,,3,,,,POINT (-77.0369774 -12.1098985)
108236185,-12.110006,-77.0372092,,3,,,,POINT (-77.0372092 -12.110006)
108236192,-12.110683,-77.037096,,3,,,,POINT (-77.037096 -12.110683)
108236195,-12.1107175,-77.0369635,,3,,,,POINT (-77.0369635 -12.1107175)
108236484,-12.1099362,-77.036739,,3,,,,POINT (-77.036739 -12.1099362)
108237805,-12.1187156,-77.0426569,,3,,,,POINT (-77.0426569 -12.1187156)
108237806,-12.1178846,-77.0423214,,4,,,,POINT (-77.0423214 -12.1178846)
108237807,-12.117077,-77.0419527,traffic_signals,5,,,,POINT (-77.0419527 -12.117077)
108237808,-12.1161915,-77.04154,,4,,,,POINT (-77.04154 -12.1161915)
108237811,-12.1151402,-77.0406987,,3,,,,POINT (-77.0406987 -12.1151402)
108237813,-12.1131619,-77.0391178,,4,,,,POINT (-77.0391178 -12.1131619)
108237815,-12.112207,-77.038386,,4,,,,POINT (-77.038386 -12.112207)
108238958,-12.1189469,-77.0404086,,3,,,,POINT (-77.0404086 -12.1189469)
108238959,-12.1190841,-77.0404065,,3,,,,POINT (-77.0404065 -12.1190841)
108238967,-12.1193227,-77.0401177,,3,,,,POINT (-77.0401177 -12.1193227)
108238968,-12.1192297,-77.0398676,,3,,,,POINT (-77.0398676 -12.1192297)
108238969,-12.1190902,-77.0397867,,3,,,,POINT (-77.0397867 -12.1190902)
108238979,-12.1186997,-77.0400672,,3,,,,POINT (-77.0400672 -12.1186997)
108238984,-12.1187942,-77.040326,,3,,,,POINT (-77.040326 -12.1187942)
108240035,-12.1187461,-77.0429786,,3,,,,POINT (-77.0429786 -12.1187461)
114612757,-12.1197405,-77.0240741,,3,,,,POINT (-77.0240741 -12.1197405)
114612758,-12.1198488,-77.023903,,4,,,,POINT (-77.023903 -12.1198488)
114612786,-12.1207291,-77.0229085,,4,,,,POINT (-77.0229085 -12.1207291)
114612787,-12.1198898,-77.0241243,,4,,,,POINT (-77.0241243 -12.1198898)
114612789,-12.1196699,-77.0244505,traffic_signals,4,,,,POINT (-77.0244505 -12.1196699)
114612794,-12.1191886,-77.0267155,traffic_signals,4,,,,POINT (-77.0267155 -12.1191886)
114612795,-12.1191676,-77.0281999,,3,,,,POINT (-77.0281999 -12.1191676)
114612819,-12.1190359,-77.0289139,traffic_signals,3,,,,POINT (-77.0289139 -12.1190359)
114612820,-12.1190526,-77.0274461,,4,,,,POINT (-77.0274461 -12.1190526)
114612821,-12.1190616,-77.0267131,traffic_signals,4,,,,POINT (-77.0267131 -12.1190616)
114612822,-12.1190775,-77.0256353,traffic_signals,4,,,,POINT (-77.0256353 -12.1190775)
114613813,-12.1226766,-77.0304267,,3,,,,POINT (-77.0304267 -12.1226766)
114615158,-12.1337454,-77.0285392,,3,,,,POINT (-77.0285392 -12.1337454)
114615160,-12.13383,-77.0283091,,3,,,,POINT (-77.0283091 -12.13383)
114615165,-12.1348366,-77.0275108,,3,,,,POINT (-77.0275108 -12.1348366)
114615166,-12.1349571,-77.027357,,3,,,,POINT (-77.027357 -12.1349571)
114615167,-12.135388,-77.0268173,,4,,,,POINT (-77.0268173 -12.135388)
114615168,-12.1357696,-77.0262967,,3,,,,POINT (-77.0262967 -12.1357696)
114615800,-12.1363991,-77.027665,,3,,,,POINT (-77.027665 -12.1363991)
114615803,-12.135806,-77.0279175,,3,,,,POINT (-77.0279175 -12.135806)
133915457,-12.1326694,-77.0284451,,4,,,,POINT (-77.0284451 -12.1326694)
133915458,-12.1331807,-77.0277633,,3,,,,POINT (-77.0277633 -12.1331807)
133915459,-12.1332325,-77.0276975,,4,,,,POINT (-77.0276975 -12.1332325)
133915461,-12.1340251,-77.0267675,,4,,,,POINT (-77.0267675 -12.1340251)
133915462,-12.1345327,-77.0261247,,4,,,,POINT (-77.0261247 -12.1345327)
133917817,-12.1299092,-77.0244542,,3,,,,POINT (-77.0244542 -12.1299092)
133917819,-12.1306453,-77.0251803,,4,,,,POINT (-77.0251803 -12.1306453)
133917823,-12.1314562,-77.0259803,traffic_signals,4,,,,POINT (-77.0259803 -12.1314562)
133917825,-12.1320639,-77.0265621,,4,,,,POINT (-77.0265621 -12.1320639)
133918636,-12.123545,-77.0387615,,3,,,,POINT (-77.0387615 -12.123545)
133918637,-12.1239558,-77.0380079,,3,,,,POINT (-77.0380079 -12.1239558)
133918643,-12.1255516,-77.0369516,,3,,,,POINT (-77.0369516 -12.1255516)
133918645,-12.12601,-77.036706,,3,,,,POINT (-77.036706 -12.12601)
133922975,-12.1265553,-77.032678,,4,,,,POINT (-77.032678 -12.1265553)
133922977,-12.1257412,-77.0323439,,4,,,,POINT (-77.0323439 -12.1257412)
133922980,-12.1259816,-77.0317639,,4,,,,POINT (-77.0317639 -12.1259816)
133922981,-12.1251748,-77.0314347,,3,,,,POINT (-77.0314347 -12.1251748)
133922983,-12.1255409,-77.0305278,,4,,,,POINT (-77.0305278 -12.1255409)
133923278,-12.1267987,-77.0320767,,4,,,,POINT (-77.0320767 -12.1267987)
133923937,-12.124945,-77.0320226,,4,,,,POINT (-77.0320226 -12.124945)
133924286,-12.1263725,-77.0307719,,4,,,,POINT (-77.0307719 -12.1263725)
133924945,-12.1225533,-77.0309643,,3,,,,POINT (-77.0309643 -12.1225533)
133925753,-12.1229387,-77.0291778,traffic_signals,4,,,,POINT (-77.0291778 -12.1229387)
133926635,-12.1300335,-77.0318652,,4,,,,POINT (-77.0318652 -12.1300335)
133926637,-12.1295972,-77.0317396,,4,,,,POINT (-77.0317396 -12.1295972)
133926638,-12.1290726,-77.0315895,,4,,,,POINT (-77.0315895 -12.1290726)
133926640,-12.1280797,-77.0312914,,4,,,,POINT (-77.0312914 -12.1280797)
133926641,-12.1272303,-77.0310166,,4,,,,POINT (-77.0310166 -12.1272303)
133927069,-12.1294593,-77.033873,,4,,,,POINT (-77.033873 -12.1294593)
133927071,-12.1283367,-77.0334121,,4,,,,POINT (-77.0334121 -12.1283367)
133927073,-12.127428,-77.0330363,,4,,,,POINT (-77.0330363 -12.127428)
133928358,-12.1276562,-77.0324447,,4,,,,POINT (-77.0324447 -12.1276562)
133928867,-12.1271997,-77.0336297,,3,,,,POINT (-77.0336297 -12.1271997)
133929689,-12.1281013,-77.0339978,,4,,,,POINT (-77.0339978 -12.1281013)
133929690,-12.1285657,-77.0328334,,4,,,,POINT (-77.0328334 -12.1285657)
133929693,-12.1301173,-77.0289987,,4,,,,POINT (-77.0289987 -12.1301173)
133929694,-12.1304094,-77.0282863,,4,,,,POINT (-77.0282863 -12.1304094)
133929695,-12.1307027,-77.0275717,,4,,,,POINT (-77.0275717 -12.1307027)
133929697,-12.1309345,-77.026979,,4,,,,POINT (-77.026979 -12.1309345)
133930107,-12.1319155,-77.0269474,,4,,,,POINT (-77.0269474 -12.1319155)
133930108,-12.1316507,-77.0276397,,4,,,,POINT (-77.0276397 -12.1316507)
133930110,-12.1313893,-77.0283214,,4,,,,POINT (-77.0283214 -12.1313893)
133930111,-12.1311033,-77.0290673,,4,,,,POINT (-77.0290673 -12.1311033)
133930363,-12.1290176,-77.033699,,3,,,,POINT (-77.033699 -12.1290176)
133933005,-12.1219562,-77.0247572,,3,,,,POINT (-77.0247572 -12.1219562)
133933007,-12.1217561,-77.0239253,,4,,,,POINT (-77.0239253 -12.1217561)
